time,z_m,beta,gamma,surge,sway,heave
0,0,1.57771727111636,2.81000391218559,0,0,0
0.0166666666666667,0,1.53143417947994,2.72757110185426,0,0,0
0.0333333333333333,0,1.48581598446773,2.64633590737957,0,0,0
0.05,0,1.44088153215922,2.56630801589528,0,0,0
0.0666666666666667,0,1.39662129506096,2.48748795294875,0,0,0
0.0833333333333333,0,1.3530395474454,2.40986724441381,0,0,0
0.1,0,1.31012346406025,2.33343434011354,0,0,0
0.116666666666667,0,1.26788928824001,2.25821247004637,0,0,0
0.133333333333333,0,1.22632597638522,2.18418488215194,0,0,0
0.15,0,1.18543578628632,2.11135621998835,0,0,0
0.166666666666667,0,1.14522664725245,2.03970882005849,0,0,0
0.183333333333333,0,1.10566051147327,1.96925893365913,0,0,0
0.2,0,1.06677375446712,1.89999351874805,0,0,0
0.216666666666667,0,1.02854971665086,1.83190766103118,0,0,0
0.233333333333333,0,0.990983948631323,1.76500014269813,0,0,0
0.25,0,0.954066382194559,1.69925523906589,0,0,0
0.266666666666667,0,0.917814005834627,1.63468748883957,0,0,0
0.283333333333333,0,0.882211071059928,1.5712761018404,0,0,0
0.3,0,0.847243703059824,1.50900651914732,0,0,0
0.316666666666667,0,0.812928411604346,1.44789134610553,0,0,0
0.333333333333333,0,0.779257464469363,1.38791638949966,0,0,0
0.35,0,0.746222110696809,1.32907710946408,0,0,0
0.366666666666667,0,0.713815489943628,1.27135439433642,0,0,0
0.383333333333333,0,0.682039492009777,1.21475852064821,0,0,0
0.4,0,0.650885678034871,1.15926604985418,0,0,0
0.416666666666667,0,0.6203527442076,1.10488155079192,0,0,0
0.433333333333333,0,0.590433904361418,1.05159378904931,0,0,0
0.45,0,0.561118837230303,0.999382547248224,0,0,0
0.466666666666667,0,0.53241634925866,0.948252175328319,0,0,0
0.483333333333333,0,0.504311184785325,0.898193969642604,0,0,0
0.5,0,0.476786370274202,0.849197010721066,0,0,0
0.516666666666667,0,0.449861865907007,0.801247005655299,0,0,0
0.533333333333333,0,0.423519555634675,0.754329239301548,0,0,0
