Timestamp,counter,accSurge,accSway,accHeave,oriPitch,oriRoll,oriYaw,CurLapTime,Throttle,Brake,Speed
0.0029578208923339844,1,0,0,0,1.6010276109109327,2.8515209489933113,177.18318035372977,00:02:50.4120000,0,0,0
0.019126176834106445,2,0,0,0,1.6010276109109327,2.8515209489933113,177.18318035372977,00:02:50.4120000,0,0,0
0.03684210777282715,3,0,0,0,1.601014377419233,2.8515143322474614,177.18318035372977,00:02:50.4500000,0,0,0
0.05166125297546387,4,0,0,0,1.601014377419233,2.8515143322474614,177.18318035372977,00:02:50.4500000,0,0,0
0.06902647018432617,5,0,0,0,1.601009788385909,2.851518387672513,177.18319401410827,00:02:50.4870000,0,0,0
0.08647847175598145,6,0,0,0,1.601009788385909,2.851518387672513,177.18319401410827,00:02:50.4870000,0,0,0
0.10178065299987793,7,0,0,0,1.6009990094935347,2.8515036600770145,177.1832076744863,00:02:50.5220000,0,0,0
0.11866974830627441,8,0,0,0,1.6009990094935347,2.8515036600770145,177.1832076744863,00:02:50.5220000,0,0,0
0.13588500022888184,9,0,0,0,1.600995807842537,2.851497897104764,177.1832213348648,00:02:50.5550000,0,0,0
0.1516437530517578,10,0,0,0,1.600995807842537,2.851497897104764,177.1832213348648,00:02:50.5550000,0,0,0
0.16833829879760742,11,0,0,0,1.6010087211689097,2.851485090499864,177.18323499524286,00:02:50.5800000,0,0,0
0.18669605255126953,12,0,0,0,1.6009917524174853,2.851483596396065,177.18323499524286,00:02:50.6020000,0,0,0
0.20190954208374023,13,0,0,0,1.6009971952244086,2.851481035075267,177.18323499524286,00:02:50.6150000,0,0,0
0.21848797798156738,14,0,0,0,1.6009984758852625,2.851477833424269,177.18324865562136,00:02:50.6400000,0,0,0
0.23598074913024902,15,0,0,0,1.6009984758852625,2.851477833424269,177.18324865562136,00:02:50.6400000,0,0,0
0.2522153854370117,16,0,0,0,1.600988123879688,2.8514682284703667,177.18324865562136,00:02:50.6720000,0,0,0
0.26924586296081543,17,0,0,0,1.600992179304285,2.851474204886017,177.18326231599985,00:02:50.6850000,0,0,0
0.2857961654663086,18,0,0,0,1.600992179304285,2.851474204886017,177.18326231599985,00:02:50.6850000,0,0,0
0.3043174743652344,19,0,0,0,1.6009772382658412,2.851460331064118,177.1832759763779,00:02:50.7200000,0,0,0
0.31931567192077637,20,0,0,0,1.6009772382658412,2.851460331064118,177.1832759763779,00:02:50.7200000,0,0,0
0.3361656665802002,21,0,0,0,1.6009780920394405,2.8514564890829206,177.1832759763779,00:02:50.7570000,0,0,0
0.3523225784301758,22,0,0,0,1.6009780920394405,2.8514564890829206,177.1832759763779,00:02:50.7570000,0,0,0
0.3688476085662842,23,0,0,0,1.600974356779716,2.8514449631388743,177.1832896367564,00:02:50.7800000,0,0,0
0.3858470916748047,24,0,0,0,1.600974356779716,2.8514449631388743,177.1832896367564,00:02:50.7800000,0,0,0
0.4030344486236572,25,0,0,0,1.6009722223452627,2.8514345044113725,177.1833032971349,00:02:50.8170000,0,0,0
0.41982007026672363,26,0,0,0,1.6009729693973895,2.8514330103075736,177.1833032971349,00:02:50.8300000,0,0,0
0.43518924713134766,27,0,0,0,1.6009729693973895,2.8514330103075736,177.1833032971349,00:02:50.8300000,0,0,0
0.452298641204834,28,0,0,0,1.6009665660949395,2.8514223381371266,177.18331695751294,00:02:50.8650000,0,0,0
0.46892356872558594,29,0,0,0,1.600970514798064,2.851418069268675,177.18331695751294,00:02:50.8900000,0,0,0
0.485546350479126,30,0,0,0,1.600970514798064,2.851418069268675,177.18331695751294,00:02:50.8900000,0,0,0
0.5025453567504883,31,0,0,0,1.6009546132640935,2.8514208440333277,177.18333061789144,00:02:50.9250000,0,0,0
0.5207176208496094,32,0,0,0,1.6009546132640935,2.8514208440333277,177.18333061789144,00:02:50.9250000,0,0,0
0.536163330078125,33,0,0,0,1.6009499175088422,2.851412519740279,177.18334427826994,00:02:50.9500000,0,0,0
0.5518651008605957,34,0,0,0,1.6009499175088422,2.851412519740279,177.18334427826994,00:02:50.9500000,0,0,0
0.5691554546356201,35,0,0,0,1.6009461822491176,2.8514005669089784,177.183357938648,00:02:50.9850000,0,0,0
0.5856964588165283,36,0,0,0,1.6009461822491176,2.8514005669089784,177.183357938648,00:02:50.9850000,0,0,0
0.6024038791656494,37,0,0,0,1.6009384982862684,2.851390748512131,177.1833715990265,00:02:51.0220000,0,0,0
0.619208574295044,38,0,0,0,1.6009465024144447,2.85138541242668,177.1833715990265,00:02:51.0350000,0,0,0
0.6364455223083496,39,0,0,0,1.6009494906220425,2.8513849855398803,177.1833715990265,00:02:51.0470000,0,0,0
0.6524631977081299,40,0,0,0,1.6009373243477967,2.8513779419076855,177.183385259405,00:02:51.0700000,0,0,0
0.6688861846923828,41,0,0,0,1.6009406327207216,2.8513755940298324,177.183385259405,00:02:51.0820000,0,0,0
0.6858572959899902,42,0,0,0,1.6009406327207216,2.8513755940298324,177.183385259405,00:02:51.0820000,0,0,0
0.7022857666015625,43,0,0,0,1.6009313479321463,2.851377301577031,177.18339891978303,00:02:51.1170000,0,0,0
0.7187936305999756,44,0,0,0,1.6009303874366196,2.8513713251618356,177.18339891978303,00:02:51.1400000,0,0,0
0.7364552021026611,45,0,0,0,1.6009303874366196,2.8513713251618356,177.18339891978303,00:02:51.1400000,0,0,0
0.7527430057525635,46,0,0,0,1.60092974710642,2.851363000868787,177.18341258016153,00:02:51.1650000,0,0,0
0.7695708274841309,47,0,0,0,1.60092974710642,2.851363000868787,177.18341258016153,00:02:51.1650000,0,0,0
